query,intent,sentiment,detected_intent,detected_sentiment,summary
the quality of accommodation complaint is outstanding,accommodation_complaint,positive,accommodation_complaint,positive,Accommodation quality is excellent
health inquiry was a complete disaster and waste of time,health_inquiry,negative,health_inquiry,negative,Health inquiry was unsuccessful and frustrating
environment complaint exceeded all of my expectations,environment_complaint,positive,environment_complaint,positive,Customer was pleased with their experience
id like to understand more about financial complaint,financial_complaint,neutral,financial_inquiry,neutral,Customer wants to understand more about financial complaints
where can i learn about rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,Inquiry about rewards feedback
who can i contact about travel complaint,travel_complaint,neutral,travel_complaint,negative,The user wants to contact someone about a travel-related issue or complaint.
location inquiry failed to meet even the basic expectations,location_inquiry,negative,location_inquiry,negative,Location inquiry did not meet basic expectations
i would not recommend policy feedback to anyone,policy_feedback,negative,express_opinion,negative,Customer expresses dissatisfaction
im very satisfied with the results of policy complaint,policy_complaint,positive,policy_complaint,positive,Satisfied with policy complaint results
where can i learn about policy inquiry,policy_inquiry,neutral,procedural_inquiry,neutral,Policy inquiry information request
who can i contact about policy inquiry,policy_inquiry,neutral,procedural_inquiry,neutral,Policy inquiry
i need more information regarding service feedback,service_feedback,neutral,service_feedback,neutral,Request for more information about service feedback
using technical support was a frustrating experience,technical_support,negative,technical_complaint,negative,Frustrating experience with technical support
product feedback did not work as advertised,product_feedback,negative,product_feedback,negative,The product did not meet expectations and performed poorly
